,asa.county,asa.states,score_infection,score_death,asa.population,asa.under5yr,asa.15yrto44yr,asa.65andOver,asa.75andOver,asa.bachelor,asa.disabilityrate,asa.employment,asa.highrisk,asa.population_density,asa.lessHighSchool,asa.nocomputer,asa.noinsurance,asa.nointernet,asa.poverty,asa.black,asa.white,map_cty,map_state
84,Creek County ,OK,-0.524308331,0.009087425,71522,0.055004055,0.354618159,0.185061939,0.077081178,0.124157602,0.156,0.436397192,0.065434412,2.692745002,0.09514555,0.030172534,0.108,0.053619865,0.134,0.021713599,0.779228769,creek,oklahoma
85,Cullman County ,AL,0.372111024,-0.003672778,83768,0.063389361,0.358884061,0.184115653,0.07513609,0.115652755,0.175,0.434999045,0.069417916,2.610408227,0.140208672,0.050150415,0.106,0.068033139,0.106,0,0.941791615,cullman,alabama
86,Cumberland County ,NC,-0.821690028,-0.023846627,335509,0.074924965,0.458211255,0.121153233,0.048514347,0.161459156,0.17,0.388794339,0.084435887,2.618402466,0.068609188,0.031656379,0.114,0.047396642,0.181,0.34894444,0.424355233,cumberland,north carolina
87,Dallas County ,TX,0.780694206,-0.009636475,2635516,0.072994434,0.439634212,0.110697108,0.042921007,0.222136386,0.096,0.505094259,0.085611698,2.801990672,0.138551616,0.025226559,0.229,0.05381375,0.139,0.223349811,0.596118559,dallas,texas
88,Darlington County ,SC,0.679214166,0.030984078,66618,0.057807199,0.362094329,0.194992344,0.078567354,0.14854844,0.156,0.416028701,0.062160377,2.686101367,0.135338797,0.053003693,0.103,0.092347414,0.179,0.412080819,0.557852232,darlington,south carolina
89,Davidson County ,NC,-0.22406612,-0.019631474,167609,0.053982781,0.330173201,0.187143888,0.077436176,0.143244098,0.152,0.445519035,0.066678997,2.396536933,0.112273207,0.038100579,0.111,0.068558371,0.175,0.103222381,0.854596114,davidson,north carolina
90,Davidson County ,TN,1.264445,-0.005473025,694144,0.066353667,0.469460227,0.125188722,0.048144189,0.340171492,0.109,0.568353252,0.088356306,2.398338787,0.079284702,0.018990296,0.114,0.041217672,0.124,0.26285036,0.627776081,davidson,tennessee
91,Daviess County ,KY,-0.127668733,0.000827738,101511,0.066643024,0.37051157,0.171863148,0.072839397,0.176148398,0.179,0.445084769,0.068514742,2.488014706,0.094580883,0.028686546,0.076,0.050625055,0.168,0,0.878308755,daviess,kentucky
92,DeKalb County ,AL,1.234947322,0.002333774,71513,0.064016333,0.38552431,0.166934683,0.067861787,0.0876484,0.108,0.455078098,0.078726945,2.87431672,0.157775509,0.047082349,0.141,0.061597192,0.196,0,0.821039531,de kalb,alabama
93,DeKalb County ,GA,-0.344787672,-0.013033667,759297,0.069220608,0.429298417,0.128670336,0.048342085,0.32370469,0.098,0.518233313,0.083590479,2.619810302,0.077193773,0.023105583,0.143,0.044287018,0.124,0.53385961,0.33584355,de kalb,georgia
94,Denton County ,TX,-1.122079331,-0.03799958,887207,0.061345323,0.437622787,0.106036134,0.037863768,0.320644449,0.083,0.557178877,0.077884868,2.907312134,0.058617662,0.005209607,0.117,0.016005284,0.065,0.099674597,0.736981336,denton,texas
95,DeSoto County ,MS,0.710158559,-0.02518384,184945,0.062391522,0.406975047,0.131974371,0.052702155,0.190618833,0.111,0.501246316,0.059779935,2.835709905,0.082402877,0.019021871,0.083,0.037032631,0.096,0.298775312,0.644207737,de soto,mississippi
96,Dorchester County ,SC,-0.264076534,-0.0155799,162809,0.059155206,0.399197833,0.146760928,0.052669078,0.195314755,0.137,0.493105418,0.070272528,2.818325024,0.088391919,0.021522152,0.121,0.067164592,0.091,0.230564649,0.663157442,dorchester,south carolina
97,Dougherty County ,GA,0.366752515,0.153305198,87956,0.069170949,0.405191232,0.167094911,0.066749284,0.136375006,0.183,0.390377007,0.081950066,2.695556237,0.139888126,0.059347856,0.185,0.100459321,0.272,0.703169767,0.241154668,dougherty,georgia
98,Douglas County ,GA,-0.360734623,-0.012559515,146343,0.062319346,0.408752041,0.11998524,0.046616511,0.210963285,0.097,0.494680306,0.072856235,2.992760588,0.083905619,0.01776648,0.114,0.049725645,0.108,0.476353498,0.443929672,douglas,georgia
99,Durham County ,NC,-0.284096422,-0.020957951,321488,0.062870154,0.458477455,0.139134276,0.051463818,0.361319863,0.089,0.516162345,0.072612353,2.451486961,0.084905191,0.019431518,0.128,0.03998594,0.141,0.347406435,0.526106729,durham,north carolina
100,Duval County ,FL,0.472198584,-0.013871978,957755,0.067156005,0.413120266,0.144479538,0.055470345,0.217382316,0.124,0.49134382,0.092240709,2.597879393,0.076124896,0.02422227,0.127,0.044437252,0.136,0.290650532,0.571227506,duval,florida
101,East Parish ,LA,0.035680152,0.015518536,440059,0.064877664,0.441386269,0.144635151,0.056696943,0.2403405,0.158,0.487039238,0.087506448,2.724216274,0.070665524,0.023267335,0.104,0.042469305,0.175,0.467703194,0.457068257,east baton rouge,louisiana
102,Ector County ,TX,-0.165074642,0.01008051,166223,0.088621912,0.445540028,0.095468136,0.039074015,0.096936044,0.094,0.471186298,0.058439566,3.127137616,0.162101514,0.02469574,0.218,0.067722277,0.104,0.059456273,0.780048489,ector,texas
103,El County ,TX,2.601487632,0.043356624,839238,0.071879491,0.432626978,0.125515051,0.053330521,0.15332361,0.139,0.427163689,0.094053177,3.118105146,0.137631995,0.027850264,0.222,0.049391233,0.188,0.028517536,0.785150339,el paso,texas
104,Ellis County ,TX,0.419646271,-0.007709521,184826,0.066289375,0.397281768,0.125896789,0.048748553,0.172151104,0.121,0.501477065,0.077315962,3.007012121,0.093542034,0.015176436,0.163,0.03328536,0.088,0.106364905,0.807370175,ellis,texas
105,Elmore County ,AL,0.795769419,0.016126803,81209,0.052605007,0.395756628,0.157137756,0.061766553,0.181691684,0.129,0.435395092,0.081862848,2.644210732,0.086111145,0.035033063,0.06,0.057395116,0.116,0.185311973,0.724907338,elmore,alabama
106,Escambia County ,FL,1.051719821,0.017864955,318316,0.059729954,0.405125724,0.171398862,0.069889669,0.181806758,0.173,0.443659759,0.094293092,2.639042266,0.086844519,0.028741879,0.127,0.05986504,0.153,0.209295166,0.641343822,escambia,florida
107,Etowah County ,AL,1.35065859,0.023993428,102268,0.05523722,0.349513044,0.195505926,0.084444792,0.122951461,0.157,0.424873861,0.084239449,2.553316855,0.123244808,0.048196894,0.132,0.074803458,0.197,0.154476474,0.776704345,etowah,alabama
108,Fairfax County ,VA,-0.496265426,0.000640836,1147532,0.062599561,0.399737001,0.139977796,0.056188411,0.446655082,0.077,0.540617604,0.086009802,2.867496614,0.060616175,0.007508287,0.085,0.014689786,0.06,0.099741009,0.587743087,fairfax,virginia
109,Faulkner County ,AR,-0.312928986,-0.021419567,126007,0.052520892,0.468950138,0.12785004,0.047021197,0.198195338,0.121,0.486345997,0.079654305,2.658992593,0.048148119,0.016308618,0.094,0.025133524,0.163,0.118493417,0.814232543,faulkner,arkansas
110,Fauquier County ,VA,-0.94159214,-0.019508089,71222,0.056064137,0.356729662,0.169259498,0.065738115,0.250484401,0.112,0.526606947,0.099983151,2.934569427,0.063463537,0.027266856,0.097,0.042528994,0.065,0.076072,0.861882564,fauquier,virginia
111,Fayette County ,GA,-1.260649535,-0.014218262,114421,0.044135255,0.341397121,0.191512048,0.077241066,0.32473934,0.118,0.458386135,0.072879978,2.773640705,0.032791183,0.007821991,0.083,0.0212461,0.058,0.242560369,0.652703612,fayette,georgia
