"","long","lat","group","order","region","subregion","IS","DS","TS"
"426",-85.9895095825195,33.5925178527832,8,426,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"427",-85.9895095825195,33.6039733886719,8,427,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"428",-86.0066909790039,33.6154365539551,8,428,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"429",-86.0238800048828,33.6326217651367,8,429,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"430",-86.0467987060547,33.6727294921875,8,430,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"431",-86.0697174072266,33.6841888427734,8,431,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"432",-86.081184387207,33.6899185180664,8,432,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"433",-86.1499328613281,33.6841888427734,8,433,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"434",-86.1499328613281,33.6956481933594,8,434,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"435",-86.1442031860352,33.7071075439453,8,435,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"436",-86.1442031860352,33.7185668945312,8,436,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"437",-86.0926361083984,33.7472152709961,8,437,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"438",-86.0869140625,33.7529449462891,8,438,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"439",-86.0697174072266,33.7644004821777,8,439,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"440",-86.0525283813477,33.7644004821777,8,440,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"441",-86.0467987060547,33.770133972168,8,441,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"442",-86.0467987060547,33.7815933227539,8,442,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"443",-86.0582580566406,33.8102378845215,8,443,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"444",-86.0582580566406,33.8331565856934,8,444,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"445",-86.0639877319336,33.8388862609863,8,445,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"446",-86.0467987060547,33.8503456115723,8,446,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"447",-86.0467987060547,33.8560752868652,8,447,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"448",-86.0181503295898,33.8560752868652,8,448,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"449",-86.0181503295898,33.8675346374512,8,449,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"450",-85.9952392578125,33.8675346374512,8,450,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"451",-85.9952392578125,33.8789939880371,8,451,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"452",-85.9837799072266,33.8789939880371,8,452,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"453",-85.9837799072266,33.896183013916,8,453,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"454",-85.9723129272461,33.896183013916,8,454,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"455",-85.9665832519531,33.9133720397949,8,455,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"456",-85.9551315307617,33.9191017150879,8,456,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"457",-85.9551315307617,33.9248313903809,8,457,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"458",-85.9322052001953,33.9248313903809,8,458,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"459",-85.9264755249023,33.907642364502,8,459,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"460",-85.897834777832,33.907642364502,8,460,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"461",-85.8921051025391,33.9420204162598,8,461,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"462",-85.8749160766602,33.9420204162598,8,462,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"463",-85.8749160766602,33.9477462768555,8,463,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"464",-85.8462677001953,33.9477462768555,8,464,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"465",-85.8462677001953,33.9649391174316,8,465,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"466",-85.7947006225586,33.9649391174316,8,466,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"467",-85.7889709472656,33.9534797668457,8,467,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"468",-85.7431335449219,33.9534797668457,8,468,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"469",-85.7431335449219,33.9649391174316,8,469,"alabama","calhoun",0.905502819152099,0.673861655896235,0.789682237524167
"1029",-86.9578018188477,33.8618049621582,22,1029,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1030",-86.9921875,33.8789939880371,22,1030,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1031",-86.9979095458984,33.896183013916,22,1031,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1032",-87.078125,33.896183013916,22,1032,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1033",-87.083854675293,33.901912689209,22,1033,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1034",-87.078125,33.9248313903809,22,1034,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1035",-87.083854675293,33.9248313903809,22,1035,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1036",-87.1067733764648,33.9477462768555,22,1036,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1037",-87.1067733764648,33.9534797668457,22,1037,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1038",-87.1125030517578,33.9993171691895,22,1038,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1039",-87.1125030517578,34.2972526550293,22,1039,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1040",-87.1067733764648,34.3201713562012,22,1040,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1041",-86.5796585083008,34.3087120056152,22,1041,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1042",-86.4765167236328,34.3087120056152,22,1042,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1043",-86.4707870483398,34.2972526550293,22,1043,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1044",-86.4536056518555,34.2915229797363,22,1044,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1045",-86.4536056518555,34.2686042785645,22,1045,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1046",-86.4822463989258,34.2686042785645,22,1046,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1047",-86.4937133789062,34.2686042785645,22,1047,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1048",-86.5108947753906,34.2571449279785,22,1048,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1049",-86.5223541259766,34.2456855773926,22,1049,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1050",-86.5280838012695,34.2342300415039,22,1050,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1051",-86.5452728271484,34.2227668762207,22,1051,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1052",-86.5452728271484,34.1941223144531,22,1052,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1053",-86.5510025024414,34.1826629638672,22,1053,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1054",-86.5853805541992,34.1540107727051,22,1054,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1055",-86.5853805541992,34.1425552368164,22,1055,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1056",-86.62548828125,34.1253662109375,22,1056,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
"1057",-86.6369476318359,34.1196365356445,22,1057,"alabama","cullman",0.469036303714459,-0.141269001006932,0.163883651353763
